Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Packaging,Quantity,Description
ATMEGA328P-PU,Microchip Technology,ATMEGA328P-PU-ND,Tube,1,IC MCU 8BIT 32KB FLASH 28DIP
CL21C220JB61PNC,Samsung Electro-Mechanics,1276-2605-1-ND,Cut Tape (CT),2,CAP CER 22PF 50V C0G/NP0 0805
CL31A106KBHNNNE,Samsung Electro-Mechanics,1276-2876-1-ND,Cut Tape (CT),1,CAP CER 10UF 50V X5R 1206
CL31A226KOHNNNE,Samsung Electro-Mechanics,1276-3048-1-ND,Cut Tape (CT),1,CAP CER 22UF 16V X5R 1206
QYX2A104JTP,Nichicon,493-3500-ND,Bulk,1,CAP FILM 0.1UF 5% 100VDC RADIAL
RC3216F103CS,Samsung Electro-Mechanics,1276-5742-1-ND,Cut Tape (CT),5,RES SMD 10K OHM 1% 1/4W 1206
SD0805S020S1R0,AVX Corporation,478-7800-1-ND,Cut Tape (CT),5,DIODE SCHOTTKY 20V 1A 0805
MCP3008-I/P,Microchip Technology,MCP3008-I/P-ND,Tube,1,IC ADC 10BIT 2.7V 8CH SPI 16DIP
ECS-160-20-46X,ECS Inc.,XC1759-ND,Bulk,1,CRYSTAL 16.0000MHZ 20PF T/H
EG1224,E-Switch,EG2585-ND,Bulk,1,SWITCH SLIDE SPDT 500MA 15V
V7805-1000,CUI Inc.,102-1715-ND,Tube,1,DC DC CONVERTER 5V 5W
MCP23017-E/SP,Microchip Technology,MCP23017-E/SP-ND,Tube,4,IC I/O EXPANDER I2C 16B 28SDIP
282834-8,TE Connectivity AMP Connectors,A98338-ND,Box,8,TERM BLK 8P SIDE ENT 2.54MM PCB
PJ-102AH,CUI Inc.,CP-102AH-ND,Tray,1,CONN PWR JACK 2X5.5MM SOLDER
B2B-XH-A-GU,JST Sales America Inc.,455-2946-ND,Bulk,1,CONN HEADER VERT 2POS 2.5MM
SXH-001T-P0.6,JST Sales America Inc.,455-1135-1-ND,Cut Tape (CT),2,CONN SOCKET 22-28AWG CRIMP TIN
XHP-2,JST Sales America Inc.,455-2266-ND,Bulk,1,CONN HOUSING 2.5MM 2POS
HDR100IMP40M-G-V-TH,Chip Quik Inc.,HDR100IMP40M-G-V-TH-ND,Bulk,1,CONN HEADER VERT 40POS 2.54MM
